facility_id,시설유형,geometry,grid_id,시설명,주소,위도,경도,inside_gwangjin,inside_or_near_gwangjin
4755,가로등,POINT (963633.7779564083 1949891.7504555436),G0047,가로등,,37.5476443,127.0883104,True,True
4756,가로등,POINT (963654.0314404964 1949913.4960441885),G0047,가로등,,37.5478411,127.0885386,True,True
4757,가로등,POINT (963678.7774687876 1949942.4890218007),G0047,가로등,,37.5481034,127.0888173,True,True
4758,가로등,POINT (963697.2883558795 1949963.7430776327),G0047,가로등,,37.5482957,127.0890258,True,True
4759,가로등,POINT (963731.5352435507 1950002.0030879718),G0047,가로등,,37.5486419,127.0894116,True,True
4760,가로등,POINT (963746.5358814702 1950018.5018878793),G0047,가로등,,37.5487912,127.0895806,True,True
4761,가로등,POINT (963768.5310273236 1950042.7475386485),G0047,가로등,,37.5490106,127.0898284,True,True
4762,가로등,POINT (963786.033434505 1950061.7428833994),G0047,가로등,,37.5491825,127.0900256,True,True
4763,가로등,POINT (963814.0324471802 1950093.4957350837),G0057,가로등,,37.5494698,127.090341,True,True
4764,가로등,POINT (963417.7910789173 1949658.0029972594),G0047,가로등,,37.5455289,127.085877,True,True
4765,가로등,POINT (963834.7905500251 1950117.7469501102),G0058,가로등,,37.5496892,127.0905748,True,True
4766,가로등,POINT (963851.0339898026 1950135.7493956913),G0058,가로등,,37.5498521,127.0907578,True,True
4767,가로등,POINT (963439.7925706366 1949681.249240957),G0047,가로등,,37.5457393,127.0861249,True,True
4768,가로등,POINT (963465.0359371965 1949706.5005051761),G0047,가로등,,37.5459679,127.0864094,True,True
4769,가로등,POINT (963486.7920173166 1949732.255340391),G0047,가로등,,37.5462009,127.0866544,True,True
4770,가로등,POINT (963514.5393074134 1949762.4994284152),G0047,가로등,,37.5464746,127.086967,True,True
4771,가로등,POINT (963536.2862719912 1949786.246302002),G0047,가로등,,37.5466895,127.087212,True,True
4772,가로등,POINT (963559.290762515 1949812.7502796107),G0047,가로등,,37.5469293,127.0874711,True,True
4773,가로등,POINT (963586.7869533573 1949840.2442372865),G0047,가로등,,37.5471782,127.087781,True,True
4774,가로등,POINT (962440.4931796843 1947948.7533706082),G0021,가로등,,37.5300835,127.0749014,True,True
4775,가로등,POINT (962450.5304631637 1947991.7551637753),G0021,가로등,,37.5304715,127.0750128,True,True
4776,가로등,POINT (962465.7788221764 1948049.9996395968),G0021,가로등,,37.5309971,127.0751824,True,True
4777,가로등,POINT (962475.0417051613 1948093.748304099),G0021,가로등,,37.5313918,127.075285,True,True
4778,가로등,POINT (962484.7900258296 1948133.4896277997),G0022,가로등,,37.5317504,127.0753933,True,True
4779,가로등,POINT (962497.2772820493 1948183.0262550768),G0022,가로등,,37.5321974,127.0755321,True,True
4780,가로등,POINT (962507.5783642504 1948225.8716101763),G0022,가로등,,37.532584,127.0756465,True,True
4781,가로등,POINT (962518.5357725285 1948271.2546894958),G0022,가로등,,37.5329935,127.0757682,True,True
4782,가로등,POINT (962493.0382705167 1948296.9983444877),G0022,가로등,,37.5332245,127.0754783,True,True
4783,가로등,POINT (962489.2792268549 1948266.7491577752),G0022,가로등,,37.5329517,127.0754373,True,True
4784,가로등,POINT (962478.034967527 1948220.4909348076),G0022,가로등,,37.5325343,127.0753124,True,True
4785,가로등,POINT (962466.2841653486 1948167.7446580974),G0022,가로등,,37.5320584,127.0751821,True,True
4786,가로등,POINT (962454.5320664538 1948114.7432298446),G0022,가로등,,37.5315802,127.0750518,True,True
4787,가로등,POINT (962442.8276700132 1948070.373226452),G0021,가로등,,37.5311798,127.0749216,True,True
4788,가로등,POINT (962431.5375075863 1948027.7543195959),G0021,가로등,,37.5307952,127.074796,True,True
4789,가로등,POINT (962422.5379928467 1947981.7412092946),G0021,가로등,,37.5303801,127.0746965,True,True
4790,가로등,POINT (962410.7860640874 1947934.7531386442),G0021,가로등,,37.5299561,127.0745659,True,True
4791,가로등,POINT (962539.4052280472 1948353.6380674827),G0022,가로등,,37.5337369,127.0760002,True,True
4792,가로등,POINT (962629.0374720802 1948726.4912179282),G0023,가로등,,37.5371012,127.0769957,True,True
4793,가로등,POINT (962638.2817885425 1948764.4931514799),G0023,가로등,,37.5374441,127.0770984,True,True
4794,가로등,POINT (962648.0431140477 1948805.4994189495),G0023,가로등,,37.5378141,127.0772068,True,True
4795,가로등,POINT (962547.7825401684 1948389.2473568465),G0022,가로등,,37.5340582,127.0760932,True,True
4796,가로등,POINT (962556.533753466 1948425.4984594565),G0022,가로등,,37.5343853,127.0761904,True,True
4797,가로등,POINT (962565.0756527398 1948462.3718149418),G0022,가로등,,37.534718,127.0762852,True,True
4798,가로등,POINT (962573.5376429908 1948495.251472019),G0022,가로등,,37.5350147,127.0763793,True,True
4799,가로등,POINT (962586.0815067743 1948555.6274505933),G0022,가로등,,37.5355594,127.0765182,True,True
4800,가로등,POINT (962594.2911978344 1948585.4905266925),G0022,가로등,,37.5358289,127.0766096,True,True
4801,가로등,POINT (962605.7863700918 1948634.7433414767),G0023,가로등,,37.5362733,127.0767372,True,True
4802,가로등,POINT (962620.0369517083 1948685.7478236847),G0023,가로등,,37.5367336,127.0768959,True,True
4803,가로등,POINT (962626.2870566706 1948827.997340099),G0023,가로등,,37.538016,127.0769594,True,True
4804,가로등,POINT (962533.2826644431 1948447.748162961),G0022,가로등,,37.5345849,127.0759261,True,True
4805,가로등,POINT (962528.2850140732 1948420.999349159),G0022,가로등,,37.5343436,127.0758709,True,True
4806,가로등,POINT (962517.2900474266 1948378.9891874695),G0022,가로등,,37.5339645,127.0757486,True,True
4807,가로등,POINT (962509.0383393201 1948347.7506462284),G0022,가로등,,37.5336826,127.0756568,True,True
4808,가로등,POINT (962618.5329614846 1948795.247569493),G0023,가로등,,37.5377205,127.0768733,True,True
4809,가로등,POINT (962606.2838820191 1948747.2407212912),G0023,가로등,,37.5372873,127.0767371,True,True
4810,가로등,POINT (962595.5326915998 1948704.253019699),G0023,가로등,,37.5368994,127.0766176,True,True
4811,가로등,POINT (962585.7854260996 1948664.4893517375),G0023,가로등,,37.5365406,127.0765093,True,True
4812,가로등,POINT (962574.8276084431 1948616.8650523685),G0023,가로등,,37.5361109,127.0763877,True,True
4813,가로등,POINT (962565.2864619946 1948579.7521008214),G0022,가로등,,37.535776,127.0762816,True,True
4814,가로등,POINT (962554.7928879388 1948533.246297747),G0022,가로등,,37.5353564,127.0761652,True,True
4815,가로등,POINT (962547.0349037218 1948499.7532789616),G0022,가로등,,37.5350542,127.0760791,True,True
4816,가로등,POINT (965286.5481057523 1949545.8702072059),G0074,가로등,,37.5445905,127.1070368,True,True
4817,가로등,POINT (965086.6455814006 1949623.8933296371),G0075,가로등,,37.5452862,127.1047702,True,True
4818,가로등,POINT (965265.5473924689 1949553.7464223912),G0074,가로등,,37.5446607,127.1067987,True,True
4819,가로등,POINT (965244.4368004135 1949562.7991797456),G0074,가로등,,37.5447415,127.1065593,True,True
4820,가로등,POINT (965223.7421846187 1949572.027763438),G0074,가로등,,37.5448239,127.1063246,True,True
4821,가로등,POINT (965202.3951264631 1949579.4396165211),G0074,가로등,,37.5448899,127.1060826,True,True
4822,가로등,POINT (965178.9672456915 1949587.792195984),G0074,가로등,,37.5449643,127.105817,True,True
4823,가로등,POINT (965158.9172925074 1949594.832601653),G0074,가로등,,37.545027,127.1055897,True,True
4824,가로등,POINT (965137.4473753605 1949602.4115578076),G0074,가로등,,37.5450945,127.1053463,True,True
4825,가로등,POINT (965118.0156317175 1949615.7068302294),G0075,가로등,,37.5452136,127.1051257,True,True
4826,가로등,POINT (963733.7670356423 1950460.4129903605),G0048,가로등,,37.5527738,127.0894142,True,True
4827,가로등,POINT (963726.3635053698 1950474.230432286),G0048,가로등,,37.55289805,127.0893297,True,True
4828,가로등,POINT (963718.9600000336 1950488.047881282),G0048,가로등,,37.5530223,127.0892452,True,True
4829,가로등,POINT (963740.7992959653 1950446.5250616851),G0048,가로등,,37.5526489,127.0894945,True,True
4830,가로등,POINT (963783.8088577494 1950325.3724178937),G0048,가로등,,37.5515586,127.0899874,True,True
4831,가로등,POINT (963799.5148165958 1950287.0163090879),G0058,가로등,,37.5512135,127.0901671,True,True
4832,가로등,POINT (963507.6543707727 1950646.1296654262),G0049,가로등,,37.5544388,127.0868451,True,True
4833,가로등,POINT (963485.6744948929 1950657.3098629839),G0049,가로등,,37.5545387,127.0865957,True,True
4834,가로등,POINT (963460.6165356307 1950669.513279279),G0049,가로등,,37.5546477,127.0863114,True,True
4835,가로등,POINT (962363.2414870515 1951174.8851545057),G0028,가로등,,37.5591586,127.0738616,True,True
4836,가로등,POINT (962542.6204585971 1951089.7209662676),G0027,가로등,,37.5583983,127.0758969,True,True
4837,가로등,POINT (962558.247642163 1951082.4944016207),G0027,가로등,,37.5583338,127.0760742,True,True
4838,가로등,POINT (962580.4189718803 1951071.1999034092),G0027,가로등,,37.5582329,127.0763258,True,True
4839,가로등,POINT (962601.9215622699 1951060.4521171271),G0027,가로등,,37.5581369,127.0765698,True,True
4840,가로등,POINT (962617.6678565493 1951052.193324391),G0027,가로등,,37.5580631,127.0767485,True,True
4841,가로등,POINT (962646.9273333596 1951037.949191463),G0027,가로등,,37.5579359,127.0770805,True,True
4842,가로등,POINT (962667.9277540969 1951027.4479211394),G0027,가로등,,37.5578421,127.0773188,True,True
4843,가로등,POINT (962687.2220996274 1951018.58528996),G0027,가로등,,37.557763,127.0775377,True,True
4844,가로등,POINT (962708.9263602311 1951007.448564962),G0027,가로등,,37.5576635,127.077784,True,True
4845,가로등,POINT (962725.3806375688 1950999.4530716822),G0027,가로등,,37.5575921,127.0779707,True,True
4846,가로등,POINT (962384.504141906 1951167.832413918),G0028,가로등,,37.5590959,127.0741027,True,True
4847,가로등,POINT (962746.1803510693 1950989.452163785),G0027,가로등,,37.5575028,127.0782067,True,True
4848,가로등,POINT (962771.9227942706 1950976.6998527981),G0027,가로등,,37.5573889,127.0784988,True,True
4849,가로등,POINT (962796.641911044 1950964.2073861079),G0038,가로등,,37.5572773,127.0787793,True,True
4850,가로등,POINT (962826.9672341887 1950949.1824936904),G0038,가로등,,37.5571431,127.0791234,True,True
4851,가로등,POINT (962831.8945856565 1950939.0531861682),G0038,가로등,,37.557052,127.0791797,True,True
4852,가로등,POINT (962399.6695748094 1951162.0721368652),G0028,가로등,,37.5590446,127.0742747,True,True
4853,가로등,POINT (962415.7990681783 1951152.7017513146),G0028,가로등,,37.5589608,127.0744578,True,True
4854,가로등,POINT (962436.7770297718 1951141.2680358146),G0028,가로등,,37.5588586,127.0746959,True,True
4855,가로등,POINT (962460.6992139801 1951128.5451714988),G0028,가로등,,37.5587449,127.0749674,True,True
4856,가로등,POINT (962480.2215900024 1951119.4258435413),G0028,가로등,,37.5586635,127.0751889,True,True
4857,가로등,POINT (962505.4157845051 1951106.708455803),G0027,가로등,,37.5585499,127.0754748,True,True
4858,가로등,POINT (962521.73592088 1951100.388455404),G0027,가로등,,37.5584936,127.0756599,True,True
